ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;CODE SIRET                                        ;ANNEES;SEMAINES;IP BRUT;NBRE DE SPOTS;
15120;AUDIKA                                            ;7565;HEROIKS MEDIA                                     ;180;PROD.PHARMACEUTIQ.PUBLIC                          ;506;SOLUTIONS AUDITIVES                               ;26;SANTE                                             ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;19556;AUDIKA APPAREIL AUDITIF                           ;31061238700103                                    ;2025;47;51 830;11;
15553;POINT P                                           ;4015;HAVAS MEDIA FRANCE                                ;241;TRAVAUX MAISON / ISOLATION VITAGE / FERMETURES    ;1488;TRAVAUX RENOVATION ENERGETIQUE                    ;55;BATIMENT TRAVAUX PUBLICS                          ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1333068;POINT P TRAVAUX BTOB RENOV.ENERGETIQUE            ;33910555300038                                    ;2025;47;23 358;2;
15553;POINT P                                           ;4015;HAVAS MEDIA FRANCE                                ;241;TRAVAUX MAISON / ISOLATION VITAGE / FERMETURES    ;1488;TRAVAUX RENOVATION ENERGETIQUE                    ;55;BATIMENT TRAVAUX PUBLICS                          ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;1333068;POINT P TRAVAUX BTOB RENOV.ENERGETIQUE            ;33910555300038                                    ;2025;47;16 048;1;
15553;POINT P                                           ;4015;HAVAS MEDIA FRANCE                                ;241;TRAVAUX MAISON / ISOLATION VITAGE / FERMETURES    ;1488;TRAVAUX RENOVATION ENERGETIQUE                    ;55;BATIMENT TRAVAUX PUBLICS                          ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1333068;POINT P TRAVAUX BTOB RENOV.ENERGETIQUE            ;33910555300038                                    ;2025;47;21 182;2;
15580;LA VILLETTE PARC                                  ;990;ANNONCEURS DIRECTS                                ;321;SALONS MANIF.SPECTACLES                           ;539;SPECTACLES-MANIFESTATIONS                         ;32;CULTURE & LOISIRS                                 ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;28896;LA VILLETTE PARC                                  ;39140695600014                                    ;2025;47;23 000;6;
15657;AG2R LA MONDIALE                                  ;1166;ARENA MEDIA COMMUNICATION                         ;33;ASSUREURS                                         ;33;INSTIT.MECENAT ASSURANCE                          ;14;ETS FINANCIERS ASSURANCE                          ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;471413;AG2R LA MONDIALE P#                               ;50285841800028                                    ;2025;47;6 400;4;
15657;AG2R LA MONDIALE                                  ;1166;ARENA MEDIA COMMUNICATION                         ;33;ASSUREURS                                         ;33;INSTIT.MECENAT ASSURANCE                          ;14;ETS FINANCIERS ASSURANCE                          ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1331330;AG2R LA MONDIALE LE DECRYPTAGE ECO P#             ;50285841800028                                    ;2025;47;76 177;5;
15657;AG2R LA MONDIALE                                  ;1166;ARENA MEDIA COMMUNICATION                         ;33;ASSUREURS                                         ;33;INSTIT.MECENAT ASSURANCE                          ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;1331690;AG2R LA MONDIALE ZOOM ZOOM ZEN P#                 ;50285841800028                                    ;2025;47;28 799;14;
15657;AG2R LA MONDIALE                                  ;1166;ARENA MEDIA COMMUNICATION                         ;33;ASSUREURS                                         ;33;INSTIT.MECENAT ASSURANCE                          ;14;ETS FINANCIERS ASSURANCE                          ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1364366;AG2R LA MONDIALE REVUE DE PRESSE P#               ;50285841800028                                    ;2025;47;110 383;22;
15657;AG2R LA MONDIALE                                  ;1166;ARENA MEDIA COMMUNICATION                         ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;63654;AG2R LA MONDIALE PREVOYANCE                       ;50285841800028                                    ;2025;47;37 680;20;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;367 501;51;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;242 288;78;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;283 558;55;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;132 635;78;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;515 236;47;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;200 607;36;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;204 141;51;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;172 471;51;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;54 553;55;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;77;77;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;338 055;59;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;71 652;30;
