ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;ANNEES;MOIS;IP BRUT;NBRE DE SPOTS;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;24 110;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;176 220;14;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;80 070;12;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;69 230;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;63 170;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;17 570;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;8;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;35 880;11;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;18 530;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2013;RFM                                               ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;27 910;14;
